ID,dep,sexe,date,Hospitalisation,Reanimation,HospConv,Radio,Deces,code_region,incid_reanimation
493,63,1,032021,107,23,58.0,956,336,84,29
494,63,2,032021,106,7,63.0,1085,264,84,29
495,69,0,032021,953,193,574.0,12055,2602,84,29
496,69,1,032021,482,126,278.0,5905,1513,84,29
497,69,2,032021,466,66,293.0,6009,1069,84,29
498,73,0,032021,116,19,80.0,2323,616,84,29
499,73,1,032021,66,16,42.0,1153,354,84,29
500,73,2,032021,49,3,37.0,1159,260,84,29
501,74,0,032021,255,32,133.0,4096,892,84,29
502,74,1,032021,120,20,70.0,2158,537,84,29
503,74,2,032021,133,11,62.0,1918,352,84,29
504,1,0,032021,142,14,93.0,2335,557,84,14
505,1,1,032021,71,10,47.0,1132,328,84,14
506,1,2,032021,70,4,45.0,1184,226,84,14
507,3,0,032021,64,10,51.0,1744,509,84,14
508,3,1,032021,40,8,30.0,805,292,84,14
509,3,2,032021,24,2,21.0,921,208,84,14
510,7,0,032021,96,11,72.0,1713,451,84,14
511,7,1,032021,44,10,30.0,767,270,84,14
512,7,2,032021,51,1,41.0,912,178,84,14
513,15,0,032021,28,1,23.0,469,105,84,14
514,15,1,032021,16,0,14.0,225,58,84,14
515,15,2,032021,12,1,9.0,244,44,84,14
516,26,0,032021,200,35,129.0,2353,668,84,14
517,26,1,032021,115,27,67.0,1163,376,84,14
518,26,2,032021,82,7,61.0,1152,278,84,14
519,38,0,032021,641,76,332.0,5911,1488,84,14
520,38,1,032021,324,47,156.0,2870,863,84,14
521,38,2,032021,315,29,175.0,3007,616,84,14
522,42,0,032021,395,53,266.0,4420,1111,84,14
523,42,1,032021,206,35,139.0,2217,646,84,14
524,42,2,032021,189,18,127.0,2171,456,84,14
525,43,0,032021,81,2,51.0,1074,221,84,14
526,43,1,032021,33,2,22.0,518,128,84,14
527,43,2,032021,46,0,27.0,538,91,84,14
528,63,0,032021,219,32,121.0,2061,605,84,14
529,63,1,032021,111,26,59.0,958,336,84,14
530,63,2,032021,104,6,62.0,1086,266,84,14
531,69,0,032021,959,192,580.0,12059,2604,84,14
532,69,1,032021,482,125,278.0,5908,1513,84,14
533,69,2,032021,472,66,299.0,6010,1071,84,14
534,73,0,032021,121,20,84.0,2323,616,84,14
535,73,1,032021,70,17,45.0,1153,354,84,14
536,73,2,032021,50,3,38.0,1159,260,84,14
